pid,condition,section,block,trial,start_time,end_time,err_count
P01,CS889C3,visible,0,16,1543426033128,1543426034076,0
P01,CS889C3,visible,0,17,1543426034781,1543426036372,0
P01,CS889C3,visible,0,18,1543426037160,1543426037836,0
P01,CS889C3,visible,0,19,1543426038478,1543426039424,0
P01,CS889C3,visible,0,20,1543426040132,1543426041119,0
P01,CS889C3,visible,0,21,1543426043652,1543426044542,1
P01,CS889C3,visible,0,22,1543426045460,1543426046211,0
P01,CS889C3,visible,0,23,1543426048354,1543426050196,1
P01,CS889C3,visible,0,24,1543426050911,1543426051809,0
P01,CS889C3,visible,0,25,1543426052441,1543426053186,0
P01,CS889C3,visible,1,0,1543426058621,1543426059378,0
P01,CS889C3,visible,1,1,1543426059935,1543426060629,0
P01,CS889C3,visible,1,2,1543426061258,1543426062064,0
P01,CS889C3,visible,1,3,1543426062667,1543426063376,0
P01,CS889C3,visible,1,4,1543426064069,1543426064889,0
P01,CS889C3,visible,1,5,1543426065478,1543426067590,0
P01,CS889C3,visible,1,6,1543426068359,1543426068946,0
P01,CS889C3,visible,1,7,1543426069799,1543426070362,0
P01,CS889C3,visible,1,8,1543426071010,1543426071811,0
P01,CS889C3,visible,1,9,1543426072514,1543426073232,0
P01,CS889C3,visible,1,10,1543426073868,1543426074535,0
P01,CS889C3,visible,1,11,1543426075820,1543426077068,0
P01,CS889C3,visible,1,12,1543426077846,1543426078467,0
P01,CS889C3,visible,1,13,1543426079173,1543426079959,0
P01,CS889C3,visible,1,14,1543426080548,1543426081292,0
P01,CS889C3,visible,1,15,1543426082020,1543426082677,0
P01,CS889C3,visible,1,16,1543426083295,1543426083926,0
P01,CS889C3,visible,1,17,1543426085997,1543426086843,1
P01,CS889C3,visible,1,18,1543426087517,1543426088443,0
P01,CS889C3,visible,1,19,1543426089115,1543426089984,0
P01,CS889C3,visible,1,20,1543426092050,1543426092917,1
P01,CS889C3,visible,1,21,1543426093604,1543426094827,0
P01,CS889C3,visible,1,22,1543426095402,1543426096205,0
P01,CS889C3,visible,1,23,1543426096809,1543426099293,0
P01,CS889C3,visible,1,24,1543426100026,1543426100689,0
P01,CS889C3,visible,1,25,1543426101401,1543426102152,0
P01,CS889C3,visible,2,0,1543426110196,1543426111029,0
P01,CS889C3,visible,2,1,1543426111741,1543426112446,0
P01,CS889C3,visible,2,2,1543426113098,1543426114240,0
P01,CS889C3,visible,2,3,1543426115129,1543426115809,0
P01,CS889C3,visible,2,4,1543426116671,1543426117337,0
P01,CS889C3,visible,2,5,1543426118089,1543426118937,0
P01,CS889C3,visible,2,6,1543426119528,1543426120281,0
P01,CS889C3,visible,2,7,1543426121175,1543426122108,0
